address,building_name,price_10k,latitude,longitude
서울특별시 구로구 개봉동 503,북한산푸르지오,92500,37.4927045475181,126.855656876682
서울특별시 강동구 암사동 508,브라운스톤공덕아파트,148000,37.5540369094746,127.127100652964
서울특별시 구로구 개봉동 503,예성 아이 라이프,14300,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,바움샤인빌,46200,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,신동양빛여울아파트,41750,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,우방,58000,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,형제빌라,31000,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,마인빌,53200,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,래미안에스티움,135000,37.4927045475181,126.855656876682
서울특별시 성동구 성수동1가 710,래미안에스티움,135000,37.5403678235429,127.045104755028
서울특별시 구로구 개봉동 503,보라매삼성,83000,37.4927045475181,126.855656876682
서울특별시 서대문구 홍은동 265-307,해돋이타운,13500,37.5846062074718,126.934340087852
서울특별시 구로구 개봉동 503,에스케이,84000,37.4927045475181,126.855656876682
서울특별시 성북구 길음동 635-168,삼미아트빌(1661-9),29000,37.6141280572304,127.015902356929
서울특별시 강서구 내발산동 767,청구하이츠빌라,36000,37.5578423496679,126.841390775473
서울특별시 구로구 개봉동 503,강동 큐브 2차,9800,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,행당한진타운,152000,37.4927045475181,126.855656876682
서울특별시 구로구 구로동 43-1,예성 아이 라이프,12900,37.5034298667765,126.891447109362
서울특별시 구로구 개봉동 503,노원IPARK,77000,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,청구3,122000,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,(218-43),51800,37.4927045475181,126.855656876682
서울특별시 마포구 아현동 777,동아,59000,37.5555932310828,126.953656665391
서울특별시 구로구 개봉동 503,세림,105000,37.4927045475181,126.855656876682
서울특별시 강서구 내발산동 767,한솔맨션,26000,37.5578423496679,126.841390775473
서울특별시 구로구 개봉동 503,신반포16,217000,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,신문로하우스,49000,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,남가좌동현대,74300,37.4927045475181,126.855656876682
서울특별시 중랑구 신내동 618,로젠빌,30000,37.6085274461075,127.096246072268
서울특별시 강남구 개포동 1284,힐스테이트녹번,103000,37.4861548149371,127.068451024326
서울특별시 강서구 내발산동 767,갈월동 에이트리움,28300,37.5578423496679,126.841390775473
서울특별시 강서구 화곡동 354-59,쌍용,40500,37.5324985435419,126.839600868324
서울특별시 구로구 개봉동 503,건풍빌라,25500,37.4927045475181,126.855656876682
서울특별시 노원구 월계동 951,목동신시가지6,215000,37.6302464149326,127.057463536772
서울특별시 구로구 개봉동 503,한방천하-용두동 포스빌,22000,37.4927045475181,126.855656876682
서울특별시 구로구 개봉동 503,럭키(963),237000,37.4927045475181,126.855656876682
서울특별시 구로구 구로동 1272,가야써니빌(373-7),68750,37.4827060921047,126.899930856333
