lot_address,road_address,mart_name,mart_type,longitude,latitude
서울특별시 종로구 창신동 766호   ,,숭인제일아케이트,그 밖의 대규모점포,,
   호   ,,광장시장주식회사,그 밖의 대규모점포,,
서울특별시 종로구 창신동 328번지 18호,,크레타 망고 아울렛,전문점,127.01231786286058,37.571758227871456
서울특별시 종로구 중학동 62번지 외 66필지,,중학아케이드,그 밖의 대규모점포,,
서울특별시 강동구 천호동 563호   ,,동아코아,쇼핑센터,127.12299203254936,37.54127075136027
,서울특별시 중구 동호로37길 20 (방산동),방산종합시장,그 밖의 대규모점포,126.99793127394172,37.56869782202687
서울특별시 중구 남창동 49번지,서울특별시 중구 남대문시장4길 21 (남창동),서울남대문시장,그 밖의 대규모점포,126.9750698203194,37.55939313636234
,서울특별시 중구 마장로 30 (신당동),팀204,그 밖의 대규모점포,127.01059002419558,37.56764301275608
,"서울특별시 중구 청계천로 260-9 (을지로6가, 통일의류종합상가)",통일상가,그 밖의 대규모점포,127.00390114668242,37.56895554280753
서울특별시 중구 충무로4가 120번지 3   호,서울특별시 중구 퇴계로 217 (충무로4가),진양상가,그 밖의 대규모점포,126.99304914887344,37.56240265486773
,서울특별시 중구 삼일대로 363 (장교동),상제리제상가,그 밖의 대규모점포,126.98368604352255,37.56737722498538
서울특별시 중구 신당동 776호,서울특별시 중구 마장로 19 (신당동),(주)에리어식스,그 밖의 대규모점포,127.0091002819348,37.568145315596
서울특별시 중구 흥인동 3번지 4호,서울특별시 중구 다산로 274 (흥인동),우일타운,전문점,127.01363840840492,37.56743000761679
서울특별시 중구 을지로4가 9번지 6호,서울특별시 중구 을지로 157 (을지로4가),대림상가,그 밖의 대규모점포,126.99262696872124,37.566757757057125
서울특별시 중구 충무로1가 52번지 5호 신세계백화점건물,"서울특별시 중구 소공로 63 (충무로1가,신세계백화점건물)",신세계백화점,백화점,126.97824871813984,37.56092260884928
,서울특별시 중구 마장로1길 28 (신당동),아트프라자,그 밖의 대규모점포,127.0100206027176,37.56915772513796
,서울특별시 중구 다산로 32 (신당동),남산타운5상가,그 밖의 대규모점포,127.0063903966272,37.5490135732488
,서울특별시 중구 다산로 32 (신당동),남산타운2상가,그 밖의 대규모점포,127.0063903966272,37.5490135732488
,서울특별시 중구 장충단로 13-20 (을지로6가),현대시티타워,쇼핑센터,,
,서울특별시 중구 퇴계로 123 (충무로2가),하이해리엇,그 밖의 대규모점포,126.98246282385564,37.56132833388368
서울특별시 중구 신당1동 213번지 8호,서울특별시 중구 마장로1길 22 (신당동),올레오,쇼핑센터,127.00967389810876,37.56895508148848
서울특별시 중구 신당1동 773번지,서울특별시 중구 마장로 3 (신당동),맥스타일,전문점,127.00767310239294,37.5688231579331
서울특별시 중구 을지로6가 17번지,서울특별시 중구 장충단로13길 20 (을지로6가),통일상가,그 밖의 대규모점포,127.00484232182068,37.56864344723963
,서울특별시 중구 마장로 13 (신당동),제일평화시장,그 밖의 대규모점포,127.00852125335398,37.56846739294808
,서울특별시 중구 남대문로 81 (소공동),롯데백화점 본점,백화점,126.97819950053712,37.56480978484286
,서울특별시 중구 다산로 32 (신당동),(주)지에스리테일 남산타운점,구분없음,127.0063903966272,37.5490135732488
서울특별시 중구 을지로6가 21번지 31호,서울특별시 중구 을지로 264 (을지로6가),던던 동대문점,쇼핑센터,127.00410102394017,37.565761322905054
서울특별시 중구 봉래동2가 122번지 11호,서울특별시 중구 한강대로 405 (봉래동2가),롯데아울렛 서울역점,쇼핑센터,126.96654626619998,37.556031205337696
서울특별시 중구 봉래동2가 120번지 11호,서울특별시 중구 한강대로 405 (봉래동2가),롯데아울렛 서울역점,쇼핑센터,126.96654626619998,37.556031205337696
서울특별시 중구 신당1동 777번지,서울특별시 중구 마장로1길 21 (신당동),(주)광희패션몰,그 밖의 대규모점포,127.00902137107704,37.56864197008132
,서울특별시 중구 장충단로 275 (을지로6가),두타몰,그 밖의 대규모점포,127.0058623745638,37.56881406234709
서울특별시 중구 을지로6가 18번지 185호,서울특별시 중구 장충단로 263 (을지로6가),밀리오레,그 밖의 대규모점포,127.00542039609576,37.56832224038242
,서울특별시 중구 남대문로 30 (남창동),굳앤굳 디자이너월드,그 밖의 대규모점포,126.97634605651784,37.56073616941914
서울특별시 중구 신당동 772호,서울특별시 중구 장충단로 282-10 (신당동),남평화상가(주),그 밖의 대규모점포,127.00802273611636,37.56917991482462
서울특별시 중구 남창동 51번지 1호,,숭례문상가,그 밖의 대규모점포,126.97334956788116,37.55942198145683
서울특별시 중구 소공동 1번지,"서울특별시 중구 을지로 30 (소공동, 롯데호텔)",호텔롯데아케이드,그 밖의 대규모점포,126.97819950053712,37.56480978484286
서울특별시 중구 신당동 193번지 3호,서울특별시 중구 마장로 40 (신당동),에이피엠패션몰,그 밖의 대규모점포,127.00957333700784,37.5681182510985
서울특별시 중구 산림동 207번지 1호 세운청계상가,"서울특별시 중구 청계천로 160, 세운청계상가 (산림동)",청계상가,그 밖의 대규모점포,126.99247825789256,37.56804797632115
,서울특별시 중구 장충단로13길 34 (을지로6가),동화상가,그 밖의 대규모점포,127.00402877700354,37.56861595466616
,서울특별시 중구 을지로45길 62 (신당동),누죤,그 밖의 대규모점포,127.00988107278786,37.567195147420094
서울특별시 강동구 천호동 563호   ,,동아코아,쇼핑센터,127.12299203254936,37.54127075136027
,서울특별시 중구 을지로36길 35 (오장동),중부시장,그 밖의 대규모점포,126.998941083913,37.56496022504528
,서울특별시 중구 을지로45길 72 (신당동),디자이너크럽,그 밖의 대규모점포,127.01025081424388,37.5674315925699
,서울특별시 중구 명동8가길 27 (충무로2가),선싸인,그 밖의 대규모점포,126.98360925111932,37.56201479588435
서울특별시 중구 남대문로2가 123호,서울특별시 중구 남대문로 67 (남대문로2가),롯데쇼핑본점영플라자,백화점,126.97883232121968,37.563511958528
,서울특별시 중구 마장로1길 18 (신당동),혜양엘리시움,그 밖의 대규모점포,127.00958145484285,37.568767684379935
,서울특별시 중구 남대문시장8길 7 (남창동),삼익패션타운,그 밖의 대규모점포,126.976088950812,37.56016508285141
,서울특별시 중구 소월로 9 (남창동),남정종합상가,그 밖의 대규모점포,126.97349487283854,37.55872860013008
,"서울특별시 중구 을지로 276 (을지로7가, apMPLACE)",에이피엠플레이스,쇼핑센터,127.0055155192732,37.56527159144854
,서울특별시 중구 다산로 222 (신당동),홈플러스익스프레스 신당점,구분없음,127.01270839899718,37.562848063794455
,"서울특별시 중구 마장로 22 (신당동, DDP FASHION MALL)",DDP FASHION MALL,그 밖의 대규모점포,127.00920959640536,37.56717364990018
,서울특별시 중구 퇴계로85길 22 (황학동),서울중앙시장,그 밖의 대규모점포,127.01691448369527,37.5667811744112
서울특별시 중구 을지로6가 18번지 35호,서울특별시 중구 장충단로 253 (을지로6가),헬로우에이피엠,그 밖의 대규모점포,127.00525272836909,37.56749259122329
서울특별시 중구 봉래동2가 122호,서울특별시 중구 청파로 426 (봉래동2가),롯데쇼핑(주)롯데마트 제타플렉스 서울역점,대형마트,126.96669510716418,37.55820072719306
