school_name,school_level,lot_address,road_address,latitude,longitude
천안월봉고등학교,고등학교,충청남도 천안시 서북구 불당동 825,충청남도 천안시 서북구 불당11로 51,36.80456188,127.1119636
안말초등학교,초등학교,경기도 성남시 분당구 이매동 118,경기도 성남시 분당구 양현로 104,37.39315429,127.1259824
안성고등학교,고등학교,경기도 안성시 금산동 33-1,경기도 안성시 금산길 57,37.01403178,127.2713539
대중초등학교,초등학교,경상남도 김해시 대동면 주동리 400-2,경상남도 김해시 대동면 대동로 287,35.2367821,128.9496931
대전대성고등학교,고등학교,대전광역시 중구 목동 95-1,대전광역시 중구 목동로 23,36.331971,127.4070779
고강초등학교,초등학교,경기도 부천시 오정구 고강동 384,경기도 부천시 오정구 역곡로482번길 57,37.52727037,126.820188
숭의중학교,중학교,광주광역시 남구 방림동 50-3,광주광역시 남구 오방로 34-13,35.12743476,126.9231472
염경중학교,중학교,서울특별시 강서구 염창동 79-8,서울특별시 강서구 양천로69길 35,37.55453781,126.8705292
현천고등학교,고등학교,강원특별자치도 횡성군 둔내면 현천리,강원특별자치도 횡성군 둔내면 경강로 4119,37.48595998,128.1705362
고양예술고등학교,고등학교,경기도 고양시 일산서구 덕이동 753-11,경기도 고양시 일산서구 덕이로172번길 4-39,37.69741041,126.742303
장훈고등학교,고등학교,서울특별시 영등포구 신길동 177-1,서울특별시 영등포구 영등포로64길 26,37.51334559,126.9162285
대전두리중학교,중학교,대전광역시 유성구 송강동 162,대전광역시 유성구 와룡로 37,36.4292747,127.3823802
서울신명초등학교,초등학교,서울특별시 강동구 길동 42,서울특별시 강동구 명일로24길 33,37.54092685,127.1499791
진도서초등학교가사도분교장,초등학교,전라남도 진도군 조도면 가사도리 1007,전라남도 진도군 조도면 가사도길 88-22,34.47867212,126.0479278
한내초등학교,초등학교,경기도 이천시 증포동 70-5,경기도 이천시 갈산로 71,37.29041031,127.4615027
남일초등학교,초등학교,충청남도 금산군 남일면 초현리 253-2,충청남도 금산군 남일면 봉황로 83,36.04352247,127.5029095
서울신암초등학교,초등학교,서울특별시 강동구 암사동 517,서울특별시 강동구 올림픽로93길 33-16,37.55002367,127.1244044
성연중학교,중학교,충청남도 서산시 성연면 평리 299-1,충청남도 서산시 성연면 성연로 210-4,36.83692899,126.4617895
진남초등학교,초등학교,경상남도 통영시 미수동 269,경상남도 통영시 도남로 38,34.83310775,128.4090936
보성복내중학교,중학교,전라남도 보성군 복내면 봉천리 300,전라남도 보성군 복내면 송재로 1926,34.89875852,127.140216
학장초등학교,초등학교,부산광역시 사상구 학장동 242-1,부산광역시 사상구 대동로 205,35.14614928,128.9845724
한울초등학교,초등학교,충청남도 홍성군 홍북읍 신경리 1206,충청남도 홍성군 홍북읍 홍학로 131,36.64526724,126.6800434
기린초등학교,초등학교,강원특별자치도 인제군 기린면 현리 433-1,강원특별자치도 인제군 기린면 기린로 76,37.95832485,128.3194073
상서중학교,중학교,강원특별자치도 화천군 상서면 파포리 291,강원특별자치도 화천군 상서면 평촌길 126-44,38.1567044,127.6495105
전주고등학교,고등학교,전북특별자치도 전주시 완산구 중노송동 483-1,전북특별자치도 전주시 완산구 권삼득로 2,35.82470798,127.1525515
창동중학교,중학교,서울특별시 도봉구 방학동 722-27,서울특별시 도봉구 방학로 32,37.66322957,127.0489975
동해초등학교,초등학교,경상남도 고성군 동해면 양촌리 832,경상남도 고성군 동해면 동해로 1585,35.04606235,128.4442729
송림중학교,중학교,경기도 성남시 분당구 이매동 378,경기도 성남시 분당구 이매로 100,37.39191272,127.1318098
서울재동초등학교,초등학교,서울특별시 종로구 가회동 210,서울특별시 종로구 북촌로4길 7,37.58002991,126.9851778
포천일고등학교,고등학교,경기도 포천시 군내면 하성북리 663,경기도 포천시 군내면 청군로 3426,37.89474961,127.2052309
상일초등학교,초등학교,경기도 부천시 원미구 상동 550-5,경기도 부천시 원미구 조마루로 57,37.50180265,126.7504878
나래중학교,중학교,경기도 김포시 구래동 6893-3,경기도 김포시 김포한강9로 19,37.63888658,126.6258995
가야중학교,중학교,경상남도 김해시 내동 1137-3,경상남도 김해시 경원로 95,35.23705465,128.8703302
진산중학교,중학교,충청남도 금산군 진산면 읍내리 606,충청남도 금산군 진산면 대둔산로 413,36.1453448,127.370204
충북산업과학고등학교,고등학교,충청북도 옥천군 옥천읍 문정리 247,충청북도 옥천군 옥천읍 중앙로 144,36.30947631,127.5763371
홍천초등학교,초등학교,강원특별자치도 홍천군 홍천읍 희망리 313,강원특별자치도 홍천군 홍천읍 희망로4길 12,37.69250906,127.883816
역동초등학교,초등학교,경기도 광주시 역동 249,경기도 광주시 순암로36번길 45,37.39835953,127.2473611
증산중학교,중학교,서울특별시 은평구 증산동 산24-4,서울특별시 은평구 증산로5길 27-30,37.58344275,126.9041567
하양초등학교,초등학교,경상북도 경산시 하양읍 금락리 133-2,경상북도 경산시 하양읍 대학로305길 25,35.91296227,128.8195828
민안초등학교,초등학교,부산광역시 수영구 민락동 551-12,부산광역시 수영구 감포로38번길 33,35.16306608,129.1212164
대전대룡초등학교,초등학교,대전광역시 동구 용운동 158-1,대전광역시 동구 백룡로 123,36.32991361,127.4558809
노곡중학교,중학교,서울특별시 도봉구 창동 32,서울특별시 도봉구 노해로70길 95,37.64880251,127.0537437
강릉제일고등학교,고등학교,강원특별자치도 강릉시 교동 886,강원특별자치도 강릉시 화부산로8번길 37,37.76013262,128.8897642
성당중학교,중학교,대구광역시 달서구 본리동 166-16,대구광역시 달서구 대명천로 102,35.84050498,128.5482368
성안중학교,중학교,경기도 안산시 상록구 사동 1538,경기도 안산시 상록구 석호로 81,37.30403122,126.8481679
원주여자중학교,중학교,강원특별자치도 원주시 명륜동 204,강원특별자치도 원주시 단구로 147,37.33941484,127.9460541
목포애향중학교,중학교,전라남도 목포시 옥암동 1325,전라남도 목포시 남악2로22번길 28-7,34.8071145,126.4569787
장충중학교,중학교,서울특별시 중구 신당동 432-460,서울특별시 중구 동호로15길 93,37.5535149,127.006415
농소초등학교,초등학교,경상북도 김천시 율곡동 21,경상북도 김천시 해오름1로1길7,36.12263602,128.1749298
대전문지중학교,중학교,대전광역시 유성구 전민동 460-3,대전광역시 유성구 전민로 53,36.39698677,127.3990962
성당초등학교,초등학교,충청남도 당진시 사기소동 644-5,충청남도 당진시 역천로 222,36.83666229,126.6051168
청라초등학교,초등학교,충청남도 보령시 청라면 나원리 916,충청남도 보령시 청라면 원모루길 205,36.39065311,126.6730505
천성중학교,중학교,충청남도 천안시 동남구 유량동 393-20,충청남도 천안시 동남구 벌말1길 7,36.81268681,127.1740363
목포서해초등학교,초등학교,전라남도 목포시 연산동 1271,전라남도 목포시 연산로 148,34.81046663,126.3811008
송산초등학교,초등학교,충청남도 당진시 송산면 상거리 322-2,충청남도 당진시 송산면 상거길 19-1,36.93193222,126.6791646
풍양중학교,중학교,경기도 남양주시 진접읍 금곡리 969,경기도 남양주시 진접읍 해밀예당1로 109,37.71884863,127.1910173
설화중학교,중학교,충청남도 아산시 배방읍 장재리 1567,충청남도 아산시 배방읍 연화로 56,36.78586151,127.0966823
순창제일고등학교,고등학교,전북특별자치도 순창군 순창읍 장덕리 100,전북특별자치도 순창군 순창읍 담순로 1411,35.37893092,127.1514256
대구성북초등학교,초등학교,대구광역시 북구 서변동 861,대구광역시 북구 호국로57길 42,35.92640879,128.5942863
상리초등학교,초등학교,경기도 연천군 연천읍 상리 161-2,경기도 연천군 연천읍 상리로 70,38.13537908,127.0751156
운천초등학교,초등학교,광주광역시 서구 치평동 1168-6,광주광역시 서구 치평로 59,35.1527033,126.8467489
제주여자상업고등학교,고등학교,제주특별자치도 제주시 건입동 1043-6,제주특별자치도 제주시 동문로 89-1,33.51467082,126.536353
대전동산고등학교,고등학교,대전광역시 중구 문화동 361-1,대전광역시 중구 문화로 183,36.31611842,127.4044918
대술중학교,중학교,충청남도 예산군 대술면 화천리 869-1,충청남도 예산군 대술면 대술로 135-7,36.6566695,126.8917371
이호초등학교,초등학교,경기도 안산시 상록구 본오동 958,경기도 안산시 상록구 고목로3길 44,37.28699826,126.8609672
안심초등학교,초등학교,전라남도 여수시 소호동 428,전라남도 여수시 소호7길 23,34.73997649,127.6464509
서울상도초등학교,초등학교,서울특별시 동작구 상도동 238-2,서울특별시 동작구 성대로21길 62,37.50034777,126.9372288
새솔고등학교,고등학교,경기도 화성시 송산면 새솔동 157,경기도 화성시 큰나래3길 25,37.27338862,126.8293429
